trialIndex,stimFile,版本,層級一,層級二,層級三,層級四
1,argentina_01_antigua_estacion_trelew_3,答對,"這裡有一台老式蒸汽火車頭停在軌道上，旁邊是一個有遮簷的月台建築，地面是碎石，周圍有一些樹木和磚鋪步道，建築外牆是白色的，光線看起來像傍晚的低角度陽光。答案是阿根廷。","有點難猜，但看到這個月台風格和火車頭，感覺還算確定。這台老蒸汽火車停在碎石軌道上，月台是白色低矮建築，周圍植被稀疏，光線偏暖。答案是阿根廷。","我先看到這台老蒸汽火車頭，有點像博物館展示品，然後注意到月台建築是白色的、很低矮簡樸，有種南美小鎮的熟悉感。再看植被，葉子偏乾、稀疏，不像熱帶。這些線索加在一起讓我想到阿根廷，信心還不錯。答案是阿根廷。","我一看到這個畫面其實有點猶豫，因為老蒸汽火車這種東西到處都有，南非也有類似的殖民時代遺跡。但我發現我可能因為選項裡有阿根廷就開始往那個方向靠攏，要小心這種偏差。仔細看月台建築的風格，白色灰泥牆、木造遮簷，加上地面磚鋪的步道設計，跟我印象中阿根廷內陸小城的樣子很像。植被也偏乾燥溫帶，不像日本或西班牙。但說真的我對南美建築風格的掌握沒那麼精準，只是直覺上感覺對。答案是阿根廷。"
1,argentina_01_antigua_estacion_trelew_3,答錯,"圖片中有一台老式蒸汽火車頭停在軌道上，旁邊是一棟白色低矮建築，有木製走廊和柱子。地面是碎石，周圍有樹木和草地，光線偏暖，像是傍晚時分。建築風格偏殖民地式。答案是南非。","有點難猜，不過看到這個殖民風格的火車站建築，感覺應該是南非。老蒸汽火車頭加上這種低矮白色建築，還算有點把握。答案是南非。","我先看到這台老式蒸汽火車頭，感覺有點眼熟，像是博物館展示用的。再看旁邊那棟建築，白牆、木製走廊，帶有殖民地建築風格。這讓我聯想到英國殖民過的地方，南非就有這種風格的老火車站。光線也很像南半球的傍晚感。所以我覺得是南非。","老實說我看到這張圖第一反應有點猶豫，因為這種老蒸汽火車加殖民風格建築，阿根廷也很常見，我可能因為對南美比較不熟，反而容易忽略它。我注意到建築白牆木廊的風格，讓我往英系殖民地想，往南非靠攏。但我其實不確定，因為阿根廷也有英國殖民鐵路的歷史痕跡，我這樣想可能是個盲點。不過我還是猜南非，雖然信心沒有很高。"
2,argentina_02_elchaltenfitzroy,答對,"畫面中有一條蜿蜒的河流流過寬闊的山谷，兩側山壁陡峭，呈現紅棕色岩層，遠處有積雪山峰。植被以綠色草地與低矮灌木為主，天空晴朗湛藍。答案是阿根廷。","感覺還算確定，這種地形有點特別。河谷很寬，山很高，岩壁顏色偏紅棕，積雪峰在遠處，植被稀疏。選項裡感覺不像紐西蘭或挪威，答案是阿根廷。","我先看到那條灰藍色辮狀河，這種河流形態讓我想到巴塔哥尼亞地區，再看右側那片紅棕色垂直岩壁，還有遠處積雪的安地斯山脈，這個組合我有點熟悉，感覺很像南美洲的高原峽谷。植被稀疏但很綠，跟挪威的峽灣完全不同。信心算高，答案是阿根廷。","我一看到這條灰色辮狀河加上那個U形山谷，馬上有一種「好像是巴塔哥尼亞」的即時辨識感，但我要停下來確認自己有沒有偏見——我會不會只是因為圖片很壯觀就直覺跳到阿根廷？仔細再看，右邊那片層狀紅棕色岩壁其實是很關鍵的線索，加上遠處明確的安地斯雪峰輪廓，紐西蘭的山感覺更圓潤、挪威是峽灣不是這種乾燥河谷、肯亞沒有積雪高山。我對巴塔哥尼亞其實不算特別熟，但這幾個特徵疊在一起讓我信心提高不少。答案是阿根廷。"
2,argentina_02_elchaltenfitzroy,答錯,"畫面中是一條蜿蜒的河流流過寬闊的山谷，兩側有高山，遠處山頂有積雪，植被稀疏偏乾燥，地形開闊，岩石裸露，天空晴朗。答案是肯亞。","有點難猜，這種山谷地形選項裡好幾個都有。不過看起來感覺像是東非高地的樣子，乾燥草地加上這種開闊河谷，選肯亞。","我先看到那條灰白色的辮狀河，感覺水量不穩定，然後注意到兩側山壁很陡、岩石偏紅褐色，植被稀疏但還有些綠意。這種高原河谷的感覺讓我聯想到東非裂谷地帶，加上天空很藍、光線很強烈，有種高海拔赤道的感覺，所以我選肯亞。","老實說，我一開始看到積雪山頭跟這種辮狀河地形，直覺是往南美巴塔哥尼亞想，阿根廷的感覺其實蠻強的。但我意識到我可能因為最近看過類似圖片就一直往那邊靠，所以我想刻意跳出來重新評估。我對肯亞高地的實際樣子其實不太熟，知識邊界在這裡很明顯。這種辮狀河加積雪山峰的組合，說真的跟東非地景不太吻合，我的信心其實很低，但硬要從選項裡選一個不是阿根廷的話，就選肯亞了。"
3,argentina_03_la_canada_de_cordoba_durante_una_lluvia_2010-03-02,答對,"這裡有一條被石砌護岸包圍的渾濁河道，兩岸是城市街道，可以看到高樓建築、行道樹、路燈與車輛。建築風格是多層公寓，磚紅色外牆。河水呈泥黃色，水位偏高。周圍植被是落葉闊葉樹。答案是阿根廷。","這條河感覺有點難猜，河道兩側是石砌牆，水很濁、水位很高，周圍建築看起來是南歐或南美那種風格。感覺還算確定不是日本，因為建築樣式不像。答案應該是阿根廷。","我先看到這條渾濁的河，石砌護岸讓我有點熟悉感，有點像南歐或南美的城市河道。再看背景建築，磚紅色的公寓樓感覺不像日本也不像南非，比較接近西班牙語系國家的風格。水位這麼高，可能剛下過大雨。我排除日本和南非，在阿根廷和西班牙之間，建築密度跟街道感覺更像南美。答案是阿根廷。","一看到這條泥黃色的河我就在想，這水位也太高了，應該是暴雨過後。石砌護岸讓我第一直覺想到南歐，但我要小心，我可能因為這種護岸在歐洲見過就直覺往西班牙靠。仔細看背景建築，那種公寓的密度和外觀其實南美也很常見。我對阿根廷城市的河道其實不是很熟，但排除日本和南非之後，在西班牙和阿根廷之間，我覺得整體街道的感覺——包括電線、建築配色、植被——更偏南美一點。雖然不是百分百確定，但我還是選阿根廷。"
3,argentina_03_la_canada_de_cordoba_durante_una_lluvia_2010-03-02,答錯,"河道兩側有石砌護牆，水流湍急呈泥黃色，周圍有高樓建築與大型行道樹，街道上有車輛行駛，整體為城市化河川環境。答案是南非。","有點難猜，但看到這個泥黃色的河水和石砌護岸，感覺跟南非的城市河川有點像。答案是南非。","我先注意到河水顏色很混濁、泥黃色，感覺是暴雨過後的狀態。再來看石砌護岸的工法，感覺不像日本那麼精細，也不像西班牙那種歐式風格。旁邊的建築物看起來比較老舊，有一點南半球城市的感覺。我對這四個選項裡面，南非的印象最接近這種混濁河流加舊式石牆的組合，所以選南非。","說實話，我一開始看到這張圖有點困惑，這種泥黃色的河水配石砌護岸，我直覺想到南美洲，但我馬上警覺到自己可能是因為看過太多類似照片就這樣聯想。我重新看了一下建築風格，路燈樣式，還有行道樹的種類，這些線索其實不夠明確讓我確定哪個國家。我知道自己對南非的城市河川其實不太熟，但在四個選項裡面，我把日本排掉因為護牆工法不像，西班牙的河川感覺比較整齊，阿根廷我也考慮過。最後我選南非，但坦白說我的信心不高，大概只有四成左右。"
7,brazil_03_cachoeira_no_circuito_das_aguas_no_parque_estadual_de_ibitipoca_-_mg,答對,"岩石河床呈現紅褐色與黃綠色苔蘚覆蓋，水流清淺，周圍植被為稀疏灌木與低矮樹木，葉片較小，天空有雲層。地形為高原型淺流瀑布地貌。答案是巴西。","這個場景有點難猜，植被不算很典型。不過岩石的顏色偏紅，水很淺，感覺還算確定是南美洲的地形。答案是巴西。","我先看到那個岩床，紅褐色的石頭加上黃綠色苔蘚，有一種熟悉感，讓我想到巴西高原的塞拉多地區。再看植被，不是熱帶雨林，是比較乾燥的灌木叢，這讓我排除了越南跟挪威。南非也有類似地形，但這個水的顏色跟岩石紋理更像巴西。答案是巴西。","老實說一開始我有點猶豫，這種淺流岩床的地形南非也有，我知道我對非洲跟南美洲的自然景觀有時候會搞混。我先注意到岩石顏色偏鐵鏽紅，然後看到植被——不是雨林，是比較稀疏的灌木，感覺像是巴西的塞拉多高原。但我停下來問自己：我是不是因為選項有巴西就往那邊靠？重新看了一下，水底的黃色色調、岩石的形狀，跟我記憶中巴西高原河流的畫面比較吻合。所以雖然不是百分百確定，但我判斷是巴西。"
7,brazil_03_cachoeira_no_circuito_das_aguas_no_parque_estadual_de_ibitipoca_-_mg,答錯,"圖片中可見一條淺水溪流，水流清澈偏黃綠色，流經大型紅褐色岩石，周圍植被以低矮灌木與稀疏喬木為主，葉色偏灰綠，地形起伏不大，天空有雲層覆蓋。答案是南非。","有點難猜，植被看起來不像熱帶雨林，感覺還算確定不是挪威，岩石的顏色和那種稀疏植被讓我選南非。","我先看到水的顏色，那種黃褐色讓我有點熟悉感，像是礦物質豐富的高地溪流。再看植被，那種低矮、灰綠色的灌木不像巴西熱帶叢林，也不像越南的濃密植被。排除挪威因為氣候和岩石風格完全不對，最後覺得這個稀樹草原邊緣的感覺比較像南非高原地帶，所以選南非。","說實話，這題讓我很糾結，我對南美和非洲的高地地形其實不太熟。一開始那個水的黃色讓我想到巴西的塞拉多高原，但我馬上意識到自己可能因為對巴西印象比較深反而容易忽略它。我刻意讓自己轉向，去看植被，那種稀疏偏乾的灌木讓我覺得不像濕潤的巴西內陸，但老實說我現在也沒那麼把握，我對南非高地和巴西高原的植被差異其實掌握得不夠精確，這個信心大概只有五五波，最後還是選南非。"
8,canada_01_china_town,答對,"招牌上有中文字，還有越南文『Bánh Mì Nguyên Hương』，電話號碼開頭是416，建築是紅磚外觀，街道上有Famous Canada Inc.的招牌，還看到Vitasoy的雨傘。答案是加拿大。","這題感覺還算好猜，招牌上直接寫了Famous Canada，電話區碼也是416，中文加越南文混雜的街道，應該是唐人街。答案是加拿大。","我先注意到滿街的中文招牌，直覺想到華人聚集地，然後看到越南文Bánh Mì，感覺像是多元族裔混居的地方，這讓我想到北美唐人街。最後一眼瞄到Famous Canada Inc.和416的電話區碼，馬上就確定了，信心蠻高的。答案是加拿大。","一開始看到滿街中文跟越南文招牌，我的第一反應是東南亞或北美唐人街，有點熟悉感但還沒把握。我提醒自己不要一看到中文就直接猜中國，因為這種混雜越南文和英文的街景在中國比較少見。接著我刻意去找更具體的線索，看到電話號碼416，這是多倫多的區碼，我對這個有點印象，然後又直接看到Famous Canada Inc.的招牌，這下信心一下子拉滿了。我反思了一下，自己其實對加拿大唐人街不是特別熟，但這次剛好抓到關鍵字，算是靠線索推理而不是靠直覺。答案是加拿大。"
8,canada_01_china_town,答錯,"招牌上有繁體中文字，還有越南文的『Bánh Mì』，旁邊出現英文招牌『Oriental Harvest』，建築是紅磚外牆，街道上密集排列各種商業招牌，還有一把印著『Vitasoy』的太陽傘，街燈是現代款式，路邊有行人。答案是澳洲。","有點難猜，中文跟越南文混在一起，感覺是某個亞洲移民聚集的唐人街。電話號碼格式看起來有點像英語系國家，但我還是選澳洲。","我先看到大大的繁體中文招牌，然後注意到越南文的Bánh Mì，這讓我想到東南亞移民社區，再看到紅磚建築和英文招牌夾雜其中，感覺很像英語系國家的唐人街。我對澳洲的唐人街有點印象，像墨爾本或雪梨，所以我覺得這個氛圍蠻符合的，答案選澳洲。","我一看到繁體中文加越南文就覺得這是某個英語系國家的唐人街，第一直覺閃過加拿大和澳洲。但我有意識到我自己對這兩個地方的唐人街其實沒有很深的分辨能力，我可能在用一種模糊的印象在猜。電話號碼開頭是416，我其實隱約感覺那像是北美的格式，但我沒有把握，就把這個線索壓下去了。最後我還是跟著一個說不清楚來源的直覺選了澳洲，但說實話我的信心並不高，我覺得自己可能忽略了某些關鍵細節。"
9,canada_02_cultus_lake,答對,"畫面中有一片平靜的湖面，湖邊長著高大的針葉林，背後是被雲霧覆蓋的山脈，天空陰沉，整體色調偏冷偏灰藍。這樣的針葉林與山湖組合是典型的溫帶山地景觀。答案是加拿大。","嗯，這個還算好猜，看到這種霧氣很重的湖跟針葉林我感覺還算確定。山的形狀跟樹的密度都很有北美的感覺，我猜是加拿大。","我先注意到湖面，然後看到兩側都是高大的針葉樹，感覺很熟悉，有點像我印象中的不列顛哥倫比亞省那種山中湖泊。再看山頂被厚厚的雲壓著，這種陰鬱又壯闊的氣質讓我直接有即時辨識感。挪威也有這種峽灣感，但樹的種類感覺更像北美西岸。我的答案是加拿大。","好，我看到這張圖第一個反應就是「好像在哪看過」，那種被霧氣壟罩的山湖感覺很熟悉。我先看針葉林，密度很高、樹形修長，感覺像北美西岸。然後我想到挪威也有這種霧山，我猶豫了一下。但我察覺到我可能因為挪威峽灣印象太深，反而想把它往歐洲套，所以我提醒自己重新看。湖的形狀比較開闊，不像峽灣那種細長，這讓我更傾向加拿大。我對紐西蘭跟日本的山地景觀其實沒那麼熟，所以我對那兩個選項信心比較低。最後我決定選加拿大，信心大概七八成吧。"
9,canada_02_cultus_lake,答錯,"畫面是一片湖面，周圍有針葉林覆蓋的山脈，山頂被雲霧遮蔽，天空陰沉，水面有些波紋。植被是深綠色的針葉樹，山勢陡峭，整體色調偏冷灰藍。答案是日本。","有點難猜，這種湖加山的組合很多地方都有。不過看到這種針葉林和被雲霧環繞的山，感覺還算確定，我選日本。","我先看到湖面，再看到旁邊那片針葉林，山被雲霧蓋住，整個氛圍很冷、很潮濕。這種霧氣瀰漫的感覺讓我有點熟悉，有點像日本北部那種山區湖泊，像是北海道一帶的感覺。雖然加拿大或挪威也有類似地形，但這個冷冽又帶點靜謐的氛圍讓我想到日本。我選日本。","老實說，看到這張圖我第一反應是加拿大，那種針葉林加上陰鬱的湖面太典型了。但我發現我可能因為選項裡有日本就開始往那邊靠，我要注意這個偏差。仔細再看，這種霧氣和山的比例⋯其實我對日本山區湖泊沒那麼熟，我不確定這跟北海道的差異在哪。我知識邊界在這裡很模糊，說實話信心不高。但我還是選日本，雖然我知道我可能猜錯了。"
